,Gender,Age,Education,EducationField,YearsAtCompany,Department,EnvironmentSatisfaction,JobLevel,NumCompaniesWorked,OverTime,PerformanceRating,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,DistanceFromHQ,State,AgeWhenHired,MaritalStatus,PercentSalaryHike,StockOptionLevel,Compensation
1065,M,45.0,Some College,Life Sciences,9.0,Operations,Very High,Executive,3.0,No,Excellent,26.0,4.0,4.0,3.0,1.0,1.0,48.9147,NJ,35.0,Married,13.0,Full Option Plan,Low
1066,F,34.0,Masters,Marketing,15.0,Sales,Medium,Associate,0.0,No,Excellent,16.0,2.0,2.0,1.0,0.0,9.0,32.8024,NJ,22.0,Divorced,11.0,Full Option Plan,Low
1067,M,59.0,Some College,Technical Degree,6.0,Sales,Medium,Manager,3.0,Yes,Excellent,14.0,1.0,1.0,4.0,0.0,4.0,46.1068,NJ,40.0,Married,14.0,Full Option Plan,Low
1068,F,53.0,Bachelors,Marketing,15.0,Sales,High,Manager,2.0,No,Excellent,30.0,2.0,3.0,7.0,6.0,12.0,46.111,NY,28.0,Married,12.0,Full Option Plan,Low
1069,M,34.0,Masters,Life Sciences,1.0,Sales,High,Junior Associate,1.0,Yes,Excellent,1.0,2.0,3.0,1.0,0.0,0.0,59.6617,NJ,47.0,Married,19.0,Full Option Plan,Low
1070,M,28.0,Below College,Medical,1.0,Sales,Very High,Junior Associate,1.0,No,Outstanding,1.0,5.0,3.0,0.0,0.0,0.0,59.978,NJ,42.0,Married,22.0,No Option Plan,Low
1071,F,40.0,Bachelors,Marketing,7.0,Finance,High,Associate,1.0,No,Excellent,8.0,3.0,2.0,7.0,7.0,5.0,47.9175,NJ,37.0,Married,14.0,Full Option Plan,Low
1072,M,54.0,Masters,Life Sciences,9.0,Finance,High,Manager,6.0,No,Excellent,13.0,4.0,3.0,4.0,7.0,0.0,57.1957,NY,42.0,Married,11.0,Full Option Plan,Low
1073,F,43.0,Bachelors,Medical,1.0,Finance,High,Manager,5.0,No,Excellent,18.0,5.0,3.0,0.0,0.0,0.0,31.855,NJ,29.0,Divorced,13.0,Full Option Plan,Low
1074,M,37.0,Masters,Life Sciences,1.0,Finance,Very High,Associate,2.0,Yes,Excellent,8.0,5.0,3.0,0.0,0.0,0.0,49.9257,NJ,26.0,Divorced,14.0,Small Option Plan,Low
1075,F,33.0,Bachelors,Life Sciences,3.0,Finance,Very High,Associate,0.0,No,Excellent,4.0,3.0,3.0,2.0,0.0,2.0,58.6061,NJ,49.0,Married,17.0,Full Option Plan,Low
1076,F,45.0,Masters,Life Sciences,15.0,Sales,Medium,Associate,1.0,No,Excellent,15.0,2.0,3.0,10.0,4.0,12.0,36.6163,NJ,39.0,Married,13.0,Full Option Plan,Low
1077,F,38.0,Masters,Marketing,8.0,Sales,High,Manager,0.0,Yes,Excellent,9.0,2.0,3.0,7.0,2.0,7.0,53.4255,NJ,35.0,Divorced,14.0,Large Option Plan,Low
1078,M,46.0,Below College,Marketing,12.0,Sales,Low,Executive,3.0,No,Excellent,23.0,3.0,3.0,9.0,4.0,9.0,32.6461,NJ,39.0,Married,12.0,Full Option Plan,Low
1079,M,38.0,Some College,Marketing,1.0,Sales,Very High,Manager,7.0,No,Excellent,10.0,2.0,3.0,0.0,0.0,0.0,35.5149,NJ,45.0,Single,16.0,No Option Plan,Low
1080,M,31.0,Bachelors,Life Sciences,2.0,Information Technology,High,Junior Associate,0.0,No,Excellent,3.0,4.0,3.0,2.0,2.0,2.0,38.191,NJ,36.0,Married,12.0,Full Option Plan,Low
1081,F,35.0,Some College,Marketing,5.0,Information Technology,Very High,Associate,1.0,No,Excellent,5.0,3.0,3.0,2.0,0.0,2.0,59.7227,NJ,26.0,Divorced,11.0,Full Option Plan,Low
1082,M,49.0,Masters,Technical Degree,9.0,Information Technology,Very High,Executive,6.0,No,Excellent,22.0,3.0,3.0,8.0,2.0,3.0,16.6313,NJ,35.0,Married,17.0,Full Option Plan,Low
1083,M,34.0,Below College,Life Sciences,6.0,Information Technology,Medium,Associate,1.0,No,Outstanding,6.0,3.0,2.0,5.0,1.0,3.0,33.6651,NJ,19.0,Married,20.0,No Option Plan,Low
1084,M,42.0,Masters,Marketing,6.0,Information Technology,Medium,Associate,7.0,No,Excellent,9.0,3.0,4.0,4.0,1.0,5.0,41.1214,NJ,49.0,Single,13.0,No Option Plan,Low
1085,F,30.0,Bachelors,Marketing,10.0,Information Technology,High,Associate,1.0,No,Excellent,10.0,3.0,3.0,3.0,1.0,4.0,49.4604,NJ,34.0,Married,18.0,Full Option Plan,Low
1086,F,32.0,Below College,Life Sciences,1.0,Sales,High,Junior Associate,1.0,No,Excellent,1.0,3.0,3.0,0.0,0.0,0.0,54.4642,NJ,22.0,Divorced,12.0,Small Option Plan,Low
1087,M,46.0,Bachelors,Marketing,26.0,Sales,High,Executive,8.0,No,Outstanding,28.0,2.0,3.0,15.0,15.0,9.0,38.316,NJ,26.0,Married,23.0,No Option Plan,Low
1088,M,30.0,Masters,Life Sciences,4.0,Sales,High,Associate,8.0,No,Excellent,8.0,3.0,3.0,3.0,0.0,3.0,79.1534,NY,34.0,Divorced,19.0,Small Option Plan,Low
1089,M,40.0,Masters,Medical,0.0,Sales,Medium,Associate,5.0,No,Excellent,5.0,2.0,3.0,0.0,0.0,0.0,69.2788,NY,33.0,Married,12.0,Small Option Plan,Low
1090,F,35.0,Masters,Life Sciences,7.0,Marketing,High,Associate,3.0,Yes,Excellent,15.0,2.0,3.0,7.0,1.0,7.0,53.9721,NJ,46.0,Married,15.0,Small Option Plan,Low
1091,F,33.0,Bachelors,Medical,10.0,Marketing,Medium,Associate,1.0,No,Excellent,10.0,3.0,2.0,7.0,0.0,1.0,36.2846,NJ,48.0,Married,12.0,Full Option Plan,Low
1092,M,20.0,Bachelors,Marketing,2.0,Marketing,High,Junior Associate,1.0,No,Excellent,2.0,2.0,3.0,1.0,2.0,2.0,51.3032,NJ,41.0,Single,17.0,No Option Plan,Low
1093,F,60.0,Masters,Marketing,11.0,Marketing,Medium,Associate,0.0,Yes,Excellent,12.0,3.0,3.0,7.0,1.0,9.0,41.5777,NJ,31.0,Divorced,18.0,Full Option Plan,Low
1094,M,40.0,Bachelors,Technical Degree,5.0,Marketing,Medium,Associate,7.0,No,Excellent,7.0,2.0,4.0,1.0,1.0,3.0,55.7477,NJ,30.0,Divorced,12.0,Full Option Plan,Low
1095,M,25.0,Masters,Life Sciences,4.0,Sales,High,Associate,0.0,No,Excellent,5.0,4.0,3.0,3.0,1.0,1.0,56.5343,NY,36.0,Single,14.0,No Option Plan,Low
1096,F,35.0,Some College,Marketing,13.0,Sales,High,Manager,4.0,Yes,Excellent,16.0,6.0,2.0,2.0,4.0,12.0,71.7231,NJ,41.0,Married,11.0,Full Option Plan,Low
1097,F,59.0,Bachelors,Life Sciences,6.0,Sales,High,Associate,5.0,No,Excellent,13.0,2.0,3.0,1.0,0.0,5.0,46.2924,NJ,27.0,Single,17.0,No Option Plan,Low
1098,F,44.0,Bachelors,Marketing,22.0,Sales,Medium,VP to C-Level,7.0,No,Excellent,26.0,5.0,3.0,9.0,3.0,10.0,73.5759,NY,38.0,Married,11.0,Full Option Plan,Low
1099,F,33.0,Doctorate,Marketing,9.0,Finance,Very High,Manager,0.0,Yes,Excellent,10.0,3.0,3.0,8.0,0.0,8.0,26.3342,NJ,39.0,Divorced,14.0,Large Option Plan,Low
1100,F,46.0,Some College,Marketing,11.0,Finance,Very High,VP to C-Level,2.0,No,Excellent,26.0,2.0,3.0,4.0,0.0,8.0,63.4393,NJ,30.0,Married,14.0,Full Option Plan,Low
1101,F,34.0,Bachelors,Marketing,3.0,Finance,High,Associate,0.0,Yes,Excellent,4.0,3.0,3.0,2.0,0.0,2.0,60.0143,PA,35.0,Single,12.0,No Option Plan,Low
1102,F,51.0,Bachelors,Life Sciences,29.0,Finance,Very High,VP to C-Level,4.0,Yes,Outstanding,31.0,5.0,2.0,10.0,11.0,10.0,49.2224,NJ,23.0,Divorced,24.0,Full Option Plan,Low
1103,F,43.0,Masters,Marketing,21.0,Finance,Very High,Manager,3.0,No,Excellent,23.0,3.0,4.0,7.0,15.0,17.0,76.4685,NJ,29.0,Single,14.0,No Option Plan,Low
1104,M,32.0,Bachelors,Medical,10.0,Sales,High,Associate,1.0,No,Excellent,10.0,4.0,4.0,7.0,0.0,8.0,70.0048,NY,34.0,Married,15.0,Large Option Plan,Low
1105,F,31.0,Masters,Life Sciences,10.0,Sales,Very High,Manager,1.0,Yes,Excellent,10.0,5.0,2.0,8.0,9.0,6.0,78.655,PA,41.0,Divorced,19.0,Full Option Plan,Low
1106,M,41.0,Some College,Medical,19.0,Sales,High,Associate,1.0,No,Excellent,19.0,4.0,3.0,2.0,11.0,9.0,20.3221,NJ,37.0,Single,13.0,No Option Plan,Low
1107,M,41.0,Bachelors,Marketing,9.0,Sales,High,Associate,0.0,No,Excellent,10.0,2.0,3.0,3.0,1.0,7.0,43.3404,NY,44.0,Divorced,17.0,Full Option Plan,Low
1108,M,38.0,Some College,Life Sciences,7.0,Sales,Medium,Associate,3.0,No,Excellent,11.0,3.0,3.0,7.0,1.0,7.0,59.5388,PA,39.0,Divorced,15.0,Full Option Plan,Low
1109,F,34.0,Some College,Medical,10.0,Information Technology,High,Associate,1.0,No,Excellent,10.0,6.0,4.0,8.0,9.0,6.0,46.3481,NJ,39.0,Single,12.0,No Option Plan,Low
1110,F,36.0,Bachelors,Marketing,15.0,Information Technology,Low,Associate,2.0,No,Excellent,17.0,2.0,2.0,7.0,6.0,13.0,43.4119,NJ,19.0,Married,16.0,Full Option Plan,Low
1111,M,27.0,Bachelors,Medical,1.0,Information Technology,High,Junior Associate,8.0,No,Excellent,5.0,4.0,3.0,0.0,0.0,0.0,37.6281,NJ,33.0,Married,14.0,Full Option Plan,Low
1112,F,27.0,Below College,Life Sciences,6.0,Information Technology,Very High,Associate,3.0,No,Outstanding,8.0,3.0,3.0,2.0,0.0,0.0,13.6492,NY,47.0,Single,20.0,No Option Plan,Low
1113,M,28.0,Bachelors,Life Sciences,5.0,Information Technology,High,Associate,1.0,No,Excellent,5.0,0.0,3.0,3.0,0.0,4.0,58.2173,NY,24.0,Married,11.0,Full Option Plan,Low
1114,M,39.0,Masters,Life Sciences,5.0,Information Technology,Low,Associate,3.0,Yes,Excellent,8.0,2.0,4.0,4.0,1.0,4.0,60.8805,NY,27.0,Married,12.0,Large Option Plan,Low
1115,F,51.0,Bachelors,Marketing,4.0,Sales,Medium,Manager,2.0,No,Excellent,14.0,5.0,3.0,2.0,3.0,2.0,43.5425,NY,23.0,Married,11.0,No Option Plan,Low
1116,M,33.0,Below College,Life Sciences,5.0,Sales,Medium,Associate,6.0,No,Excellent,8.0,2.0,4.0,4.0,1.0,2.0,32.3539,NJ,29.0,Married,13.0,No Option Plan,Low
1117,F,32.0,Below College,Marketing,3.0,Sales,High,Associate,0.0,Yes,Excellent,4.0,3.0,2.0,2.0,1.0,2.0,54.8949,NJ,29.0,Married,13.0,Small Option Plan,Low
1118,M,25.0,Below College,Life Sciences,3.0,Sales,Low,Associate,2.0,No,Excellent,6.0,3.0,2.0,2.0,1.0,2.0,78.8831,NY,32.0,Married,11.0,No Option Plan,Low
1119,F,27.0,Bachelors,Marketing,6.0,Sales,Very High,Associate,1.0,Yes,Excellent,6.0,3.0,3.0,2.0,4.0,4.0,60.4839,NY,38.0,Married,11.0,No Option Plan,Low
1120,F,36.0,Masters,Marketing,5.0,Sales,Low,Associate,3.0,Yes,Excellent,15.0,3.0,3.0,4.0,0.0,1.0,46.4696,NY,27.0,Single,16.0,No Option Plan,Low
1121,M,30.0,Masters,Marketing,3.0,Operations,Very High,Associate,7.0,No,Excellent,8.0,3.0,3.0,2.0,0.0,2.0,68.2311,PA,23.0,Divorced,14.0,Large Option Plan,Low
1122,M,36.0,Masters,Marketing,3.0,Operations,High,Associate,4.0,No,Excellent,11.0,3.0,2.0,2.0,0.0,2.0,6.6186,NY,38.0,Married,13.0,Large Option Plan,Low
1123,M,24.0,Below College,Medical,5.0,Operations,Very High,Associate,1.0,Yes,Excellent,5.0,3.0,3.0,4.0,0.0,3.0,74.0097,NJ,26.0,Married,12.0,Large Option Plan,Low
1124,M,32.0,Doctorate,Marketing,4.0,Operations,Very High,Associate,4.0,No,Excellent,7.0,3.0,2.0,3.0,0.0,3.0,6.4303,NY,44.0,Married,12.0,Full Option Plan,Low
1125,M,31.0,Some College,Life Sciences,13.0,Operations,Low,Manager,1.0,No,Excellent,13.0,5.0,3.0,7.0,9.0,9.0,1.8751,NY,41.0,Divorced,18.0,Full Option Plan,Low
1126,M,48.0,Bachelors,Marketing,2.0,Sales,High,Associate,4.0,No,Excellent,15.0,3.0,3.0,2.0,2.0,2.0,9.8336,NY,35.0,Divorced,11.0,Small Option Plan,Low
1127,F,28.0,Bachelors,Medical,5.0,Sales,Very High,Associate,0.0,No,Excellent,6.0,4.0,3.0,4.0,1.0,3.0,14.8273,NY,48.0,Single,18.0,No Option Plan,Low
1128,M,33.0,Bachelors,Medical,4.0,Sales,Very High,Associate,0.0,No,Excellent,5.0,2.0,3.0,3.0,0.0,3.0,12.6798,NY,24.0,Married,14.0,Large Option Plan,Low
1129,M,34.0,Bachelors,Other,13.0,Sales,Very High,Associate,3.0,No,Excellent,15.0,2.0,3.0,9.0,3.0,12.0,15.9391,NY,48.0,Single,18.0,No Option Plan,Low
1130,M,30.0,Below College,Life Sciences,2.0,Sales,Very High,Associate,8.0,No,Excellent,4.0,2.0,2.0,1.0,2.0,2.0,18.1517,NY,48.0,Married,15.0,Large Option Plan,Low
1131,M,44.0,Doctorate,Marketing,1.0,Sales,Low,Associate,7.0,No,Excellent,11.0,4.0,2.0,0.0,0.0,0.0,20.0557,NY,22.0,Married,12.0,Full Option Plan,Low
1132,F,35.0,Below College,Life Sciences,1.0,Finance,Very High,Junior Associate,1.0,No,Excellent,1.0,3.0,3.0,0.0,0.0,0.0,19.2792,NY,30.0,Married,13.0,Full Option Plan,Low
1133,M,24.0,Some College,Life Sciences,1.0,Finance,Very High,Junior Associate,1.0,No,Excellent,1.0,2.0,3.0,0.0,0.0,0.0,16.7672,NY,40.0,Married,13.0,Full Option Plan,Low
1134,F,29.0,Bachelors,Life Sciences,10.0,Finance,High,Associate,1.0,No,Excellent,10.0,3.0,3.0,7.0,0.0,4.0,13.1754,NY,26.0,Divorced,14.0,Large Option Plan,Low
1135,M,47.0,Bachelors,Medical,5.0,Finance,High,Associate,3.0,Yes,Excellent,11.0,4.0,2.0,4.0,1.0,2.0,24.9534,NY,46.0,Married,17.0,Full Option Plan,Low
1136,M,28.0,Bachelors,Life Sciences,4.0,Finance,High,Associate,0.0,No,Excellent,5.0,5.0,3.0,2.0,1.0,3.0,13.1792,NY,33.0,Single,14.0,No Option Plan,Low
1137,M,46.0,Bachelors,Life Sciences,13.0,Sales,High,Executive,8.0,No,Excellent,23.0,2.0,4.0,12.0,5.0,1.0,4.1276,NY,41.0,Married,12.0,Full Option Plan,Low
1138,M,34.0,Bachelors,Technical Degree,10.0,Sales,Very High,Manager,1.0,Yes,Excellent,10.0,3.0,3.0,9.0,8.0,6.0,5.7483,NY,44.0,Married,14.0,No Option Plan,Low
1139,F,34.0,Some College,Technical Degree,11.0,Sales,Medium,Junior Associate,0.0,Yes,Outstanding,12.0,4.0,3.0,10.0,5.0,7.0,3.5456,NY,33.0,Married,25.0,Full Option Plan,Low
1140,F,40.0,Some College,Medical,8.0,Sales,Low,Associate,0.0,No,Excellent,9.0,5.0,4.0,4.0,7.0,1.0,5.9853,NY,19.0,Married,12.0,No Option Plan,Low
1141,F,35.0,Masters,Life Sciences,5.0,Sales,Medium,Junior Associate,0.0,No,Outstanding,6.0,5.0,3.0,3.0,4.0,2.0,8.5841,NY,35.0,Married,23.0,Large Option Plan,Low
1142,M,36.0,Masters,Life Sciences,3.0,Sales,High,Junior Associate,3.0,Yes,Outstanding,7.0,3.0,2.0,2.0,1.0,2.0,4.4739,NY,21.0,Single,21.0,No Option Plan,Low
1143,M,48.0,Masters,Life Sciences,8.0,Information Technology,High,Associate,8.0,No,Excellent,18.0,2.0,3.0,7.0,7.0,7.0,5.9762,NJ,34.0,Divorced,14.0,Full Option Plan,Low
1144,M,33.0,Masters,Life Sciences,2.0,Information Technology,Low,Associate,2.0,No,Excellent,8.0,6.0,1.0,2.0,2.0,2.0,2.2375,NY,37.0,Married,13.0,Full Option Plan,Low
1145,F,30.0,Masters,Technical Degree,4.0,Information Technology,High,Manager,3.0,No,Excellent,9.0,3.0,3.0,2.0,1.0,3.0,7.7551,NY,27.0,Married,12.0,Full Option Plan,Low
1146,F,55.0,Doctorate,Marketing,36.0,Information Technology,High,VP to C-Level,1.0,No,Outstanding,36.0,3.0,3.0,6.0,2.0,13.0,8.7414,NY,36.0,Married,21.0,Full Option Plan,Low
1147,M,38.0,Bachelors,Life Sciences,9.0,Information Technology,High,Associate,0.0,No,Excellent,10.0,3.0,3.0,8.0,7.0,7.0,8.1617,NY,25.0,Married,11.0,Full Option Plan,Low
1148,M,38.0,Bachelors,Life Sciences,3.0,Information Technology,Medium,Associate,2.0,No,Excellent,8.0,5.0,4.0,2.0,1.0,2.0,1.0529,NY,24.0,Single,12.0,No Option Plan,Low
1149,M,36.0,Masters,Life Sciences,1.0,Sales,Medium,Associate,6.0,No,Excellent,15.0,5.0,3.0,0.0,0.0,0.0,6.9875,NJ,22.0,Single,13.0,No Option Plan,Low
1150,M,39.0,Bachelors,Medical,7.0,Sales,Very High,Manager,2.0,No,Excellent,11.0,3.0,3.0,6.0,7.0,6.0,2.7935,NJ,29.0,Married,11.0,Full Option Plan,Low
1151,M,50.0,Bachelors,Marketing,1.0,Sales,High,VP to C-Level,4.0,Yes,Excellent,27.0,2.0,3.0,0.0,0.0,0.0,4.9392,NY,25.0,Married,16.0,Full Option Plan,Low
1152,F,40.0,Some College,Life Sciences,5.0,Sales,Very High,Associate,1.0,No,Excellent,5.0,2.0,3.0,4.0,1.0,2.0,9.1022,NY,24.0,Married,15.0,Full Option Plan,Low
1153,F,46.0,Masters,Life Sciences,26.0,Sales,Very High,Executive,1.0,No,Excellent,27.0,5.0,1.0,0.0,0.0,12.0,2.7505,NY,37.0,Single,15.0,No Option Plan,Low
1154,M,45.0,Bachelors,Marketing,10.0,Sales,Low,Associate,1.0,No,Excellent,10.0,2.0,3.0,7.0,4.0,5.0,9.2429,NY,36.0,Married,15.0,Full Option Plan,Low
1155,M,31.0,Masters,Other,5.0,Sales,Very High,Associate,7.0,No,Excellent,10.0,3.0,3.0,2.0,0.0,3.0,2.1651,NY,37.0,Single,13.0,No Option Plan,Low
1156,M,29.0,Bachelors,Medical,5.0,Sales,High,Associate,9.0,No,Excellent,8.0,2.0,3.0,2.0,1.0,4.0,4.4478,NY,37.0,Single,11.0,No Option Plan,Low
1157,M,20.0,Bachelors,Medical,2.0,Finance,High,Junior Associate,1.0,No,Excellent,2.0,3.0,3.0,2.0,2.0,2.0,6.698,NJ,45.0,Single,19.0,No Option Plan,Low
1158,F,29.0,Bachelors,Medical,10.0,Finance,Low,Associate,1.0,Yes,Excellent,10.0,3.0,2.0,0.0,0.0,9.0,6.7763,NY,36.0,Divorced,13.0,Full Option Plan,Low
1159,M,33.0,Masters,Medical,6.0,Finance,Very High,Associate,1.0,No,Excellent,6.0,5.0,3.0,2.0,0.0,4.0,2.9596,NY,45.0,Divorced,14.0,Large Option Plan,Low
1160,M,31.0,Masters,Life Sciences,10.0,Finance,Low,Associate,1.0,No,Excellent,10.0,2.0,3.0,0.0,0.0,2.0,5.515,NJ,24.0,Married,11.0,Large Option Plan,Low
1161,M,47.0,Masters,Life Sciences,3.0,Finance,Medium,Executive,6.0,No,Excellent,29.0,2.0,3.0,2.0,1.0,2.0,5.1789,NY,21.0,Divorced,14.0,Small Option Plan,Low
1162,M,41.0,Some College,Life Sciences,2.0,Sales,Very High,Manager,3.0,Yes,Excellent,21.0,2.0,3.0,0.0,0.0,2.0,6.8516,NJ,32.0,Single,16.0,No Option Plan,Low
1163,M,20.0,Below College,Life Sciences,2.0,Sales,Very High,Junior Associate,1.0,No,Excellent,2.0,3.0,3.0,2.0,0.0,2.0,2.5735,NY,40.0,Single,11.0,No Option Plan,Low
1164,M,33.0,Bachelors,Life Sciences,6.0,Sales,High,Associate,1.0,Yes,Outstanding,7.0,2.0,3.0,5.0,1.0,2.0,9.5247,NJ,50.0,Divorced,25.0,Full Option Plan,Low
1165,M,37.0,Masters,Medical,6.0,Information Technology,High,Associate,1.0,No,Excellent,6.0,2.0,2.0,3.0,1.0,3.0,6.9126,NY,23.0,Divorced,14.0,Large Option Plan,Low
1166,M,43.0,Bachelors,Medical,10.0,Information Technology,Very High,Associate,1.0,Yes,Excellent,10.0,3.0,3.0,9.0,8.0,8.0,4.4141,NJ,32.0,Married,17.0,Full Option Plan,Low
1167,F,41.0,Bachelors,Marketing,10.0,Information Technology,Very High,Manager,1.0,No,Excellent,10.0,3.0,3.0,8.0,8.0,7.0,8.1137,NY,23.0,Single,12.0,No Option Plan,Low
1168,M,36.0,Masters,Life Sciences,13.0,Information Technology,High,Associate,3.0,No,Excellent,17.0,2.0,2.0,7.0,6.0,7.0,5.6396,NJ,26.0,Single,15.0,No Option Plan,Low
1169,M,47.0,Masters,Marketing,1.0,Information Technology,High,Associate,7.0,No,Excellent,4.0,3.0,1.0,0.0,0.0,0.0,6.7296,NY,45.0,Married,11.0,Full Option Plan,Low
1170,F,46.0,Bachelors,Life Sciences,10.0,Information Technology,High,Manager,4.0,Yes,Excellent,13.0,5.0,2.0,6.0,0.0,3.0,6.9033,NJ,31.0,Divorced,12.0,Full Option Plan,Low
1171,F,32.0,Bachelors,Life Sciences,4.0,Sales,Very High,Manager,3.0,No,Excellent,10.0,2.0,1.0,3.0,0.0,2.0,3.0199,NJ,27.0,Married,13.0,Full Option Plan,Low
1172,F,40.0,Masters,Medical,21.0,Sales,Medium,VP to C-Level,1.0,No,Excellent,21.0,3.0,2.0,8.0,12.0,8.0,8.0002,NY,20.0,Single,14.0,No Option Plan,Low
1173,F,31.0,Bachelors,Technical Degree,5.0,Sales,Low,Associate,1.0,No,Excellent,6.0,3.0,3.0,2.0,0.0,2.0,9.9479,NJ,31.0,Married,19.0,Full Option Plan,Low
1174,M,30.0,Some College,Marketing,7.0,Sales,High,Manager,2.0,No,Excellent,12.0,2.0,3.0,7.0,1.0,7.0,2.7051,NY,29.0,Divorced,11.0,Full Option Plan,Low
1175,M,33.0,Bachelors,Marketing,11.0,Sales,Very High,Associate,8.0,No,Excellent,13.0,2.0,2.0,7.0,1.0,7.0,9.8074,NJ,33.0,Single,15.0,No Option Plan,Low
1176,F,49.0,Masters,Marketing,5.0,Sales,Very High,Associate,3.0,No,Excellent,8.0,1.0,4.0,1.0,0.0,4.0,8.8041,NY,30.0,Single,12.0,No Option Plan,Low
1177,F,34.0,Bachelors,Life Sciences,15.0,Sales,Very High,Associate,1.0,Yes,Excellent,15.0,3.0,3.0,14.0,0.0,7.0,6.8149,NY,38.0,Divorced,14.0,Full Option Plan,Low
1178,M,34.0,Some College,Life Sciences,2.0,Marketing,Very High,Associate,5.0,No,Excellent,6.0,3.0,3.0,2.0,2.0,2.0,9.1323,NJ,34.0,Single,12.0,No Option Plan,Low
1179,M,31.0,Masters,Marketing,12.0,Marketing,Low,Associate,1.0,No,Excellent,13.0,3.0,3.0,7.0,5.0,7.0,3.9079,NY,20.0,Married,14.0,Large Option Plan,Low
1180,F,37.0,Some College,Marketing,5.0,Marketing,Medium,Associate,1.0,No,Excellent,5.0,2.0,3.0,2.0,0.0,3.0,4.6799,NY,25.0,Married,14.0,Large Option Plan,Low
1181,M,46.0,Some College,Life Sciences,2.0,Marketing,Medium,Associate,8.0,No,Excellent,6.0,3.0,3.0,2.0,2.0,2.0,9.3994,NY,19.0,Single,15.0,No Option Plan,Low
1182,M,39.0,Bachelors,Life Sciences,2.0,Marketing,High,Associate,2.0,No,Excellent,7.0,6.0,3.0,1.0,2.0,2.0,9.5773,NY,25.0,Divorced,18.0,Full Option Plan,Low
1183,M,41.0,Below College,Marketing,22.0,Sales,High,Manager,0.0,Yes,Excellent,23.0,3.0,4.0,14.0,13.0,5.0,1.5967,NY,22.0,Divorced,13.0,Full Option Plan,Low
1184,F,34.0,Some College,Technical Degree,10.0,Sales,Medium,Associate,1.0,No,Outstanding,10.0,5.0,3.0,8.0,4.0,8.0,4.4759,NY,43.0,Married,21.0,Large Option Plan,Low
1185,M,58.0,Bachelors,Medical,16.0,Sales,Medium,Executive,4.0,No,Outstanding,37.0,0.0,2.0,9.0,14.0,14.0,4.4682,NY,46.0,Divorced,22.0,Full Option Plan,Low
1186,F,31.0,Masters,Marketing,3.0,Sales,Low,Manager,2.0,No,Excellent,9.0,3.0,3.0,2.0,2.0,2.0,6.6272,NJ,45.0,Married,14.0,Large Option Plan,Low
1187,M,38.0,Masters,Marketing,4.0,Sales,Medium,Associate,2.0,Yes,Outstanding,20.0,4.0,2.0,2.0,0.0,3.0,6.6976,NY,19.0,Married,20.0,Large Option Plan,Low
1188,M,26.0,Bachelors,Medical,5.0,Finance,High,Associate,1.0,No,Excellent,5.0,4.0,3.0,3.0,1.0,2.0,9.3709,NY,49.0,Single,13.0,No Option Plan,Low
1189,M,45.0,Masters,Life Sciences,8.0,Finance,High,Associate,4.0,No,Outstanding,10.0,3.0,4.0,7.0,5.0,7.0,8.1445,NY,36.0,Married,22.0,Large Option Plan,Low
1190,M,43.0,Masters,Life Sciences,7.0,Finance,Low,Associate,1.0,No,Outstanding,7.0,5.0,3.0,7.0,7.0,7.0,8.1062,NJ,50.0,Married,20.0,Full Option Plan,Low
1191,M,32.0,Masters,Marketing,0.0,Finance,Very High,Associate,8.0,No,Excellent,4.0,2.0,4.0,0.0,0.0,0.0,9.4216,NJ,40.0,Single,13.0,No Option Plan,Low
1192,M,46.0,Bachelors,Technical Degree,19.0,Finance,Low,Executive,2.0,No,Excellent,25.0,5.0,3.0,17.0,2.0,8.0,4.1185,NJ,46.0,Divorced,12.0,Full Option Plan,Low
1193,F,27.0,Below College,Medical,9.0,Sales,Medium,Associate,1.0,No,Outstanding,9.0,5.0,3.0,8.0,5.0,8.0,5.2724,NY,22.0,Married,21.0,Full Option Plan,Low
1194,M,28.0,Bachelors,Medical,1.0,Sales,Medium,Junior Associate,1.0,No,Excellent,1.0,3.0,3.0,0.0,0.0,0.0,5.7249,NY,29.0,Married,19.0,Full Option Plan,Low
1195,M,36.0,Masters,Technical Degree,10.0,Sales,Medium,Associate,1.0,Yes,Excellent,10.0,4.0,3.0,9.0,1.0,7.0,5.3804,NY,19.0,Married,13.0,Full Option Plan,Low
1196,M,34.0,Bachelors,Life Sciences,5.0,Sales,High,Manager,2.0,Yes,Excellent,9.0,3.0,3.0,3.0,1.0,0.0,8.7939,NJ,38.0,Married,13.0,Small Option Plan,Low
1197,F,27.0,Some College,Medical,8.0,Sales,Low,Associate,0.0,No,Excellent,9.0,5.0,2.0,7.0,0.0,7.0,7.6063,NY,36.0,Single,14.0,No Option Plan,Low
1198,M,36.0,Some College,Marketing,4.0,Information Technology,High,Associate,2.0,No,Excellent,12.0,1.0,1.0,2.0,1.0,3.0,8.3936,NY,43.0,Married,16.0,Large Option Plan,Low
1199,M,41.0,Bachelors,Marketing,5.0,Information Technology,High,Associate,5.0,No,Outstanding,14.0,3.0,3.0,4.0,1.0,4.0,5.441,NJ,32.0,Married,21.0,Full Option Plan,Low
